TCL,APL,LSU,UOI,SIU,MRI,UIC,NIU,WIU,LIU,NWU
1.23,45.67,89.01,23.45,67.89,12.34,56.78,90.12,34.56,78.90
12.34,56.78,90.12,34.56,78.90,1.23,45.67,89.01,23.45,67.89
23.45,67.89,12.34,56.78,90.12,34.56,78.90,1.23,45.67,89.01
34.56,78.90,1.23,45.67,89.01,23.45,67.89,12.34,56.78,90.12
45.67,89.01,23.45,67.89,12.34,56.78,90.12,34.56,78.90,1.23
56.78,90.12,34.56,78.90,1.23,45.67,89.01,23.45,67.89,12.34
67.89,12.34,56.78,90.12,34.56,78.90,1.23,45.67,89.01,23.45
78.90,1.23,45.67,89.01,23.45,67.89,12.34,56.78,90.12,34.56
89.01,23.45,67.89,12.34,56.78,90.12,34.56,78.90,1.23,45.67
90.12,34.56,78.90,1.23,45.67,89.01,23.45,67.89,12.34,56.78
